numero;nom;plan_eau;municipalite;mrc;categorie;lat;lon;url_fiche
X2143726;nan;Jean-Niquette, Ruisseau;Pierreville;Nicolet-Yamaska;Faible contenance;46.084222;-72.763917;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143729;nan;Curé, Lac du / Trib.46D.55M.36S.-70D.34M.04S.;Montmagny;Montmagny;Petit barrage;46.935694;-70.445861;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143732;nan;;Warwick;Arthabaska;Faible contenance;45.895139;-72.023417;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143733;nan;Trib.46D.00M.32S.-74D.33M.20S.;Montcalm;Les Laurentides;Petit barrage;46.02025;-74.547306;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143735;Joseph-Choquette, Barrage;Trib.45D.33M.11S.-71D.45M.38S.;Sherbrooke;Ville de Sherbrooke;Faible contenance;45.374167;-71.881389;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143736;nan;;Saint-Alphonse-Rodriguez;Matawinie;Faible contenance;46.179667;-73.772583;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143740;nan;;Notre-Dame-Auxiliatrice-de-Buckland;Bellechasse;Faible contenance;46.644694;-70.535556;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143741;nan;;Notre-Dame-Auxiliatrice-de-Buckland;Bellechasse;Faible contenance;46.638528;-70.526472;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143746;nan;;Warwick;Arthabaska;Faible contenance;45.890028;-72.021528;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143747;nan;;Warwick;Arthabaska;Faible contenance;45.890639;-72.020556;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143748;nan;;Nominingue;Antoine-Labelle;Faible contenance;46.354806;-75.035639;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2143751;Shitagoo, Digue;Shitagoo, Lac;La Tuque;La Tuque;Forte contenance (parent);47.485244;-72.402161;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145338;nan;;Potton;Memphrémagog;Faible contenance;45.011853;-72.451856;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145341;nan;Lindsay, Lac / Saumons, Rivière aux;Saint-Malo;Coaticook;Petit barrage;45.187144;-71.557199;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145345;nan;Fontaine, Lac / Noire, Rivière;Saint-Eugène-de-Ladrière;Rimouski-Neigette;Faible contenance;48.220462;-68.646035;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145346;nan;Cyprien, Lac / Noire, Rivière;Saint-Eugène-de-Ladrière;Rimouski-Neigette;Faible contenance;48.214722;-68.652222;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145347;nan;Trib.45D.43D.44S.-74D.04M.54S.;Saint-Colomban;La Rivière-du-Nord;Faible contenance;45.737444;-74.083167;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145354;nan;Trib.45D.50M.26S.-74D.26M.08S.;Wentworth-Nord;Les Pays-d'en-Haut;Faible contenance (parent);45.848833;-74.402111;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145355;Caniapiscau, Digue KC-23-2;Caniapiscau, Lac;Eeyou Istchee Baie-James;Jamésie (terr. conventionné);Forte contenance;54.140556;-70.230833;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145356;Caniapiscau, Digue KC-29A;Caniapiscau, Lac;Caniapiscau;Caniapiscau;Forte contenance;53.92;-69.916389;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145357;Caniapiscau, Digue KC-29C;Caniapiscau, Lac;Caniapiscau;Caniapiscau;Forte contenance;53.916111;-69.9075;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2145358;Caniapiscau, Digue KC-30B;Caniapiscau, Lac;Caniapiscau;Caniapiscau;Forte contenance;53.900556;-69.915833;https://www.cehq.gouv.qc.ca/barrages/default.asp
